Timestamp (EST),Atlantic - rainRate (in/hr),1-min rain (in),Chem - rainRate (in/hr),1-min rain (in),Golf - rainRate (in/hr),1-min rain (in),rainRate (in/hr),1-min rain (in)
7/19/25 16:33,0,0,0,0,0,0,0,0
7/19/25 16:34,0,0,0,0,0,0,0,0
7/19/25 16:35,0,0,0,0,0,0,0,0
7/19/25 16:36,0,0,0,0,0,0,0,0
7/19/25 16:37,0,0,0,0,0,0.01,0,0
7/19/25 16:38,0,0,0,0,0,0,0,0.01
7/19/25 16:39,0,0,0,0,0.39,0.01,0,0
7/19/25 16:40,0,0,0,0,0.33,0,0.22,0.01
7/19/25 16:41,0,0,0,0,0.33,0.01,0.22,0
7/19/25 16:42,0,0,0,0,0.3,0,0.39,0.01
7/19/25 16:43,0,0,0,0,0.3,0.01,0.36,0
7/19/25 16:44,0,0,0,0,0.26,0,0.36,0.01
7/19/25 16:45,0,0.01,0,0.01,0.22,0,0.46,0.01
7/19/25 16:46,0,0,0,0,0.17,0,0.38,0
7/19/25 16:47,0,0,0.26,0.01,0.17,0.01,0.26,0
7/19/25 16:48,0.17,0,0.26,0,0.59,0.01,0.18,0
7/19/25 16:49,0.17,0.01,0.24,0,0.59,0.01,0.18,0.01
7/19/25 16:50,0.17,0,0.24,0.01,0.35,0,0.18,0
7/19/25 16:51,0.75,0.01,0.3,0,0.35,0.01,0.28,0.01
7/19/25 16:52,0.75,0.01,0.56,0.01,0.32,0,0.4,0.01
7/19/25 16:53,0.7,0.02,0.56,0.01,0.24,0,1.91,0.02
7/19/25 16:54,0.55,0,0.56,0.01,0.24,0.01,2.13,0.05
7/19/25 16:55,1,0.01,0.76,0.01,0.52,0.01,2.92,0.04
7/19/25 16:56,3.13,0.05,1.04,0.03,1,0.02,3.08,0.05
7/19/25 16:57,4.14,0.06,3.53,0.04,1,0.01,6.13,0.07
7/19/25 16:58,4.2,0.05,5.65,0.05,2.25,0.02,6.86,0.07
7/19/25 16:59,4.2,0.03,7.38,0.12,6.06,0.07,7.78,0.07
7/19/25 17:00,1.54,0.02,7.38,0.11,7.29,0.1,7.38,0.12
7/19/25 17:01,2.15,0.03,6.94,0.08,6.86,0.08,4.61,0.05
7/19/25 17:02,2.15,0.04,6.94,0.06,5.7,0.07,4.84,0.05
7/19/25 17:03,4.65,0.06,5.28,0.11,5.88,0.09,6,0.09
7/19/25 17:04,5.38,0.07,6.94,0.09,5.88,0.04,6.86,0.05
7/19/25 17:05,4.65,0.08,7.78,0.1,6.55,0.08,6.86,0.1
7/19/25 17:06,6.26,0.05,7.78,0.08,6.55,0.12,5.94,0.05
7/19/25 17:07,6.47,0.05,5.14,0.05,8.23,0.06,5.94,0.09
7/19/25 17:08,6.47,0.13,6.62,0.09,8.23,0.12,5.14,0.04
7/19/25 17:09,5.76,0.08,7.89,0.14,5.88,0.05,4.92,0.06
7/19/25 17:10,5.05,0.05,8.47,0.1,3.67,0.03,2.62,0.04
7/19/25 17:11,5.82,0.09,6.06,0.05,3.56,0.05,2.04,0.01
7/19/25 17:12,5.1,0.07,4.14,0.05,3.56,0.05,1.36,0.02
7/19/25 17:13,4.61,0.04,4.14,0.06,2.94,0.04,3.81,0.06
7/19/25 17:14,3.51,0.06,2.94,0.04,3.24,0.06,3.81,0.03
7/19/25 17:15,4.54,0.04,3.67,0.04,2.67,0.02,2.45,0.02
7/19/25 17:16,4.54,0.03,3.67,0.05,2.73,0.04,0.98,0.02
7/19/25 17:17,1.42,0.02,2.92,0.03,2.8,0.04,1.09,0.01
7/19/25 17:18,1.66,0.03,1.85,0.02,2.8,0.04,0.76,0.01
7/19/25 17:19,1.66,0.02,1.18,0.02,2.22,0.02,0.6,0.01
7/19/25 17:20,1.28,0.01,1.02,0.01,2.21,0.03,1.18,0.02
7/19/25 17:21,0.95,0.02,1.04,0.02,2.21,0.03,1.18,0.01
7/19/25 17:22,1.07,0.01,1.07,0.01,1.93,0.03,1.51,0.03
7/19/25 17:23,1.26,0.02,1.12,0.02,2.01,0.02,1.51,0.02
7/19/25 17:24,1.23,0.02,1.24,0.02,2.01,0.03,1.18,0.01
7/19/25 17:25,1.2,0.02,1.16,0.02,1.53,0.02,0.88,0.01
7/19/25 17:26,0.86,0.01,1.14,0.01,1.47,0.02,0.76,0.02
7/19/25 17:27,0.86,0.02,0.98,0.02,1.63,0.03,0.71,0.01
7/19/25 17:28,0.98,0.01,0.94,0.01,1.47,0.02,0.58,0
7/19/25 17:29,0.98,0.01,0.91,0.01,0.94,0.01,0.58,0.01
7/19/25 17:30,0.76,0.01,0.57,0.01,0.9,0.01,0.5,0.01
7/19/25 17:31,0.58,0.01,0.57,0.01,1.4,0.02,0.54,0.01
