Date/Time,Rate (in/hr),1-min (in)
5/31/2025, 8:00:00 PM,0,0
5/31/2025, 8:01:00 PM,0,0
5/31/2025, 8:02:00 PM,0,0
5/31/2025, 8:03:00 PM,0,0
5/31/2025, 8:04:00 PM,0,0
5/31/2025, 8:05:00 PM,0,0
5/31/2025, 8:06:00 PM,0,0
5/31/2025, 8:07:00 PM,0,0
5/31/2025, 8:08:00 PM,0,0
5/31/2025, 8:09:00 PM,0,0
5/31/2025, 8:10:00 PM,0,0
5/31/2025, 8:11:00 PM,0,0
5/31/2025, 8:12:00 PM,0,0
5/31/2025, 8:13:00 PM,0,0
5/31/2025, 8:14:00 PM,0,0
5/31/2025, 8:15:00 PM,0,0
5/31/2025, 8:16:00 PM,0,0
5/31/2025, 8:17:00 PM,0,0
5/31/2025, 8:18:00 PM,0,0
5/31/2025, 8:19:00 PM,0,0
5/31/2025, 8:20:00 PM,0,0
5/31/2025, 8:21:00 PM,0,0
5/31/2025, 8:22:00 PM,0,0
5/31/2025, 8:23:00 PM,0,0
5/31/2025, 8:24:00 PM,0,0
5/31/2025, 8:25:00 PM,0,0
5/31/2025, 8:26:00 PM,0,0
5/31/2025, 8:27:00 PM,0,0
5/31/2025, 8:28:00 PM,0,0
5/31/2025, 8:29:00 PM,0,0
5/31/2025, 8:30:00 PM,0,0
5/31/2025, 8:31:00 PM,0,0
5/31/2025, 8:32:00 PM,0,0
5/31/2025, 8:33:00 PM,0,0
5/31/2025, 8:34:00 PM,0,0
5/31/2025, 8:35:00 PM,0,0
5/31/2025, 8:36:00 PM,0,0
5/31/2025, 8:37:00 PM,0,0
5/31/2025, 8:38:00 PM,0,0
5/31/2025, 8:39:00 PM,0,0
5/31/2025, 8:40:00 PM,0,0
5/31/2025, 8:41:00 PM,0,0
5/31/2025, 8:42:00 PM,0,0
5/31/2025, 8:43:00 PM,0,0
5/31/2025, 8:44:00 PM,0,0
5/31/2025, 8:45:00 PM,0,0
5/31/2025, 8:46:00 PM,0,0
5/31/2025, 8:47:00 PM,0,0
5/31/2025, 8:48:00 PM,0,0
5/31/2025, 8:49:00 PM,0,0
5/31/2025, 8:50:00 PM,0,0
5/31/2025, 8:51:00 PM,0,0
5/31/2025, 8:52:00 PM,0,0
5/31/2025, 8:53:00 PM,0,0
5/31/2025, 8:54:00 PM,0,0
5/31/2025, 8:55:00 PM,0,0
5/31/2025, 8:56:00 PM,0,0
5/31/2025, 8:57:00 PM,0,0
5/31/2025, 8:58:00 PM,0,0
5/31/2025, 8:59:00 PM,0,0
5/31/2025, 9:00:00 PM,0,0
5/31/2025, 9:01:00 PM,0,0
5/31/2025, 9:02:00 PM,0,0
5/31/2025, 9:03:00 PM,0,0
5/31/2025, 9:04:00 PM,0,0
5/31/2025, 9:05:00 PM,0,0
5/31/2025, 9:06:00 PM,0,0
5/31/2025, 9:07:00 PM,0,0
5/31/2025, 9:08:00 PM,0,0
5/31/2025, 9:09:00 PM,0,0
5/31/2025, 9:10:00 PM,0,0
5/31/2025, 9:11:00 PM,0,0
5/31/2025, 9:12:00 PM,0,0
5/31/2025, 9:13:00 PM,0,0
5/31/2025, 9:14:00 PM,0,0
5/31/2025, 9:15:00 PM,0,0
5/31/2025, 9:16:00 PM,0,0
5/31/2025, 9:17:00 PM,0,0
5/31/2025, 9:18:00 PM,0,0
5/31/2025, 9:19:00 PM,0,0
5/31/2025, 9:20:00 PM,0,0
5/31/2025, 9:21:00 PM,0,0
5/31/2025, 9:22:00 PM,0,0
5/31/2025, 9:23:00 PM,0,0
5/31/2025, 9:24:00 PM,0,0
5/31/2025, 9:25:00 PM,0,0
5/31/2025, 9:26:00 PM,0,0
5/31/2025, 9:27:00 PM,0,0
5/31/2025, 9:28:00 PM,0,0
5/31/2025, 9:29:00 PM,0,0
5/31/2025, 9:30:00 PM,0,0
5/31/2025, 9:31:00 PM,0,0
